Method,nll_mean,nll_std,coverage_95,bimodality_score,runtime,Status
MMSB-VI,12.086860497900656,9.43048400790163,1.0,0.02694177480733015,2.406024932861328,Success
EKF,27.631021115928547,0.0,1.0,0.06738130986643753,0.3651430606842041,Success
UKF,27.631021115928547,0.0,0.875,,0.542072057723999,Success
SVI,27.631021115928547,0.0,0.75,0.06503167171143043,2.792167901992798,Success
